,filename,volume,model_height,model_radius,infill,layer_height,est_time
19993,stls/624408.stl,15811.409800718126,56.00199890136719,9.480005662098822,20.0,0.2,38.0
19994,stls/624431.stl,130.53603871663412,3.200000047683716,3.6034233292635194,20.0,0.2,1.0
19995,stls/624561.stl,99374.19596398076,10.744000434875488,54.25988499570932,20.0,0.2,220.0
19996,stls/624587.stl,33464.51862484548,18.010000228881836,24.319827803498693,20.0,0.2,113.0
19997,stls/624626.stl,9122.605883137416,10.199999809265137,16.87269430772848,20.0,0.2,49.0
19998,stls/624668.stl,21002.223550084545,18.010000228881836,19.266411988750768,20.0,0.2,55.0
19999,stls/624700.stl,55516.892297501305,24.0,27.13513686816367,20.0,0.2,274.0
20000,stls/624702.stl,1127.9876791617482,6.333329677581787,7.529414288636531,20.0,0.2,7.0
20001,stls/624708.stl,33308.209703057786,18.010000228881836,24.26296376363621,20.0,0.2,109.0
20002,stls/624726.stl,24536.6700981506,63.25,11.112265534828893,20.0,0.2,43.0
20003,stls/624743.stl,65494.53360980301,89.60600280761719,15.2531323398675,20.0,0.2,448.0
20004,stls/624746.stl,24331.524767025596,128.25,7.771073909178212,20.0,0.2,249.0
20005,stls/624767.stl,15043.75514283982,19.998001098632812,15.474260288760977,20.0,0.2,2.0
20006,stls/624786.stl,3809.2570630113282,14.0,9.306388674192494,20.0,0.2,11.0
20007,stls/624823.stl,2880.183677154244,6.0,12.361168623714205,20.0,0.2,11.0
20008,stls/624825.stl,71636.96966588887,19.866050720214844,33.87957056500162,20.0,0.2,149.0
20009,stls/625108.stl,12467.576258255982,17.0,15.278883505084803,20.0,0.2,33.0
20010,stls/625136.stl,184908.6620592773,7.5,88.58762530172076,20.0,0.2,459.0
20011,stls/625218.stl,2081.8718324204287,4.197999954223633,12.564084353391243,20.0,0.2,11.0
20012,stls/625233.stl,101860.57933021465,57.5,23.746204973945186,20.0,0.2,252.0
20013,stls/625259.stl,16034.087128724277,14.00200080871582,19.092031140387917,20.0,0.2,66.0
20014,stls/625362.stl,18087.636782195852,11.743999481201172,22.141547253212327,20.0,0.2,97.0
20015,stls/625397.stl,5792.649959098296,8.199850082397461,14.995493064286238,20.0,0.2,57.0
20016,stls/62543.stl,27724.965439783435,100.00199890136719,9.394122732569022,20.0,0.2,57.0
20017,stls/625434.stl,1572.815819867482,33.0,3.894996108490232,20.0,0.2,13.0
20018,stls/62546.stl,4206.692284579913,29.49799919128418,6.737505868042701,20.0,0.2,21.0
20019,stls/625471.stl,1275609.713762534,198.00100708007812,45.28457257263707,20.0,0.2,890.0
20020,stls/625493.stl,5740.6723762637375,6.000999927520752,17.44996796269778,20.0,0.2,23.0
20021,stls/625560.stl,28392.87092769727,52.0,13.18341871838839,20.0,0.2,73.0
20022,stls/62561.stl,2636.2287976254897,12.589099884033203,8.16430600227517,20.0,0.2,14.0
20023,stls/625697.stl,30462.190546487556,39.99589920043945,15.57033283538598,20.0,0.2,64.0
20024,stls/62575.stl,591.9594052440176,5.956999778747559,5.624154391995053,20.0,0.2,4.0
20025,stls/62576.stl,2454.6364793323105,5.956999778747559,11.45262033640759,20.0,0.2,9.0
20026,stls/625764.stl,647123.1295533498,110.12423706054688,43.24909943426989,20.0,0.2,447.0
20027,stls/625774.stl,28326.577506343525,22.001998901367188,20.24375379886016,20.0,0.2,129.0
20028,stls/625811.stl,2068.2076648340503,7.0200042724609375,9.68397026112955,20.0,0.2,18.0
20029,stls/625911.stl,380.89672632763785,5.0,4.924290682019673,20.0,0.2,3.0
20030,stls/626041.stl,38.04584016709123,8.797562599182129,1.1732686606345415,20.0,0.2,1.0
20031,stls/626279.stl,34138.769056088015,60.00199890136719,13.457554062151704,20.0,0.2,97.0
20032,stls/626307.stl,40500.03537120422,17.0,27.53774057270955,20.0,0.2,162.0
